date,o3_mean,date_num
2014-01-01,29.8134110787172,1
2014-01-02,30.250728862973723,2
2014-01-03,32.24418604651162,3
2014-01-04,33.49780380673499,4
2014-01-05,33.640532544378736,5
2014-01-06,32.5147928994083,6
2014-01-07,29.54881656804735,7
2014-01-08,28.55000000000001,8
2014-01-09,28.126822157434386,9
2014-01-10,25.735549132947973,10
2014-01-11,32.130813953488385,11
2014-01-12,35.09433962264153,12
2014-01-13,32.20863309352517,13
2014-01-14,30.96829971181553,14
2014-01-15,32.24098124098122,15
2014-01-16,32.886330935251756,16
2014-01-17,32.64306358381502,17
2014-01-18,33.65123010130248,18
2014-01-19,34.40869565217393,19
2014-01-20,36.40348330914372,20
2014-01-21,34.167394468704565,21
2014-01-22,33.94912790697677,22
2014-01-23,34.298984034833076,23
2014-01-24,32.93178519593614,24
2014-01-25,36.0,25
2014-01-26,37.812772133526934,26
2014-01-27,34.92857142857145,27
2014-01-28,32.811403508771875,28
2014-01-29,32.60844250363903,29
2014-01-30,32.77777777777779,30
2014-01-31,30.64233576642334,31
2014-02-01,32.5205882352941,32
2014-02-02,31.64757709251103,33
2014-02-03,31.900439238652968,34
2014-02-04,31.1195335276968,35
2014-02-05,33.91947291361642,36
2014-02-06,32.20937042459741,37
2014-02-07,33.218155197657445,38
2014-02-08,32.905109489051085,39
2014-02-09,34.023391812865526,40
2014-02-10,33.88192419825066,41
2014-02-11,33.594752186588906,42
2014-02-12,32.464233576642364,43
2014-02-13,35.04671532846724,44
2014-02-14,37.51240875912414,45
2014-02-15,36.90670553935861,46
2014-02-16,40.28467153284677,47
2014-02-17,39.040995607613596,48
2014-02-18,37.835036496350355,49
2014-02-19,38.314949201741655,50
2014-02-20,37.412191582003,51
2014-02-21,37.58840579710151,52
2014-02-22,41.73255813953492,53
2014-02-23,40.31295487627366,54
2014-02-24,38.76700434153407,55
2014-02-25,36.59913169319825,56
2014-02-26,35.040345821325666,57
2014-02-27,37.65800865800874,58
2014-02-28,37.864276568502,59
2014-03-01,38.25959079283893,60
2014-03-02,38.56225930680368,61
2014-03-03,37.431673052362804,62
2014-03-04,35.40279542566715,63
2014-03-05,36.326972010178196,64
2014-03-06,37.87055837563459,65
2014-03-07,39.53553299492389,66
2014-03-08,42.26878980891719,67
2014-03-09,43.46871008939975,68
2014-03-10,44.73730964467006,69
2014-03-11,44.849367088607494,70
2014-03-12,41.96839443742111,71
2014-03-13,43.872635561160166,72
2014-03-14,46.18969849246223,73
2014-03-15,45.59496855345915,74
2014-03-16,43.12232030264819,75
2014-03-17,38.96365914786973,76
2014-03-18,41.911027568922314,77
2014-03-19,42.410447761194085,78
2014-03-20,46.80397022332504,79
2014-03-21,48.31891223732989,80
2014-03-22,45.806930693069226,81
2014-03-23,42.54838709677427,82
2014-03-24,43.562962962962985,83
2014-03-25,44.34975369458132,84
2014-03-26,43.8616891064871,85
2014-03-27,43.69146341463414,86
2014-03-28,40.09866017052378,87
2014-03-29,42.15225334957372,88
2014-03-30,45.47741147741144,89
2014-03-31,42.8292220113851,90
2014-04-01,46.1012891344381,91
2014-04-02,42.190693430656886,92
2014-04-03,41.85688240656332,93
2014-04-04,44.28260869565193,94
2014-04-05,45.979128856624065,95
2014-04-06,45.49682107175278,96
2014-04-07,44.26992753623172,97
2014-04-08,48.4990990990988,98
2014-04-09,51.408273381294684,99
2014-04-10,53.080645161290164,100
2014-04-11,51.60286225402477,101
2014-04-12,51.420720720720425,102
2014-04-13,46.12466124661236,103
2014-04-14,42.816546762589724,104
2014-04-15,44.334829443446864,105
2014-04-16,48.734052111410435,106
2014-04-17,48.46153846153833,107
2014-04-18,48.45624999999982,108
2014-04-19,51.51921358355655,109
2014-04-20,54.34914950760961,110
2014-04-21,53.9525089605733,111
2014-04-22,49.88282647584957,112
2014-04-23,48.62142857142839,113
2014-04-24,50.17955555555537,114
2014-04-25,48.17140319715789,115
2014-04-26,46.79751332149186,116
2014-04-27,44.89403383793397,117
2014-04-28,43.30988423864629,118
2014-04-29,42.934222222222054,119
2014-04-30,42.013900955690595,120
2014-05-01,45.51567944250845,121
2014-05-02,46.94778067885091,122
2014-05-03,51.601398601398394,123
2014-05-04,50.89588801399807,124
2014-05-05,49.85440278988649,125
2014-05-06,50.793733681461894,126
2014-05-07,48.00435540069658,127
2014-05-08,48.08420138888872,128
2014-05-09,45.72270363951458,129
2014-05-10,46.38628472222203,130
2014-05-11,45.28720626631836,131
2014-05-12,43.883781439722284,132
2014-05-13,43.993960310612444,133
2014-05-14,42.566983578219435,134
2014-05-15,44.452422145328654,135
2014-05-16,49.05877268798606,136
2014-05-17,51.867417677642734,137
2014-05-18,51.537662337662105,138
2014-05-19,51.72993960310585,139
2014-05-20,50.374460742018755,140
2014-05-21,48.31147540983575,141
2014-05-22,47.29177489177465,142
2014-05-23,47.19565217391278,143
2014-05-24,46.43902439024367,144
2014-05-25,50.12914485165773,145
2014-05-26,50.55944055944043,146
2014-05-27,48.792027729635855,147
2014-05-28,44.073913043478115,148
2014-05-29,43.087294727744016,149
2014-05-30,46.73879310344812,150
2014-05-31,47.936206896551504,151
2014-06-01,48.429188255612964,152
2014-06-02,47.62780656303955,153
2014-06-03,48.50390964378784,154
2014-06-04,46.481802426343044,155
2014-06-05,46.27902946273817,156
2014-06-06,46.91285591026739,157
2014-06-07,49.467588591184054,158
2014-06-08,45.80086956521721,159
2014-06-09,47.240901213171334,160
2014-06-10,44.67680278019094,161
2014-06-11,43.47432550043506,162
2014-06-12,41.68896611642047,163
2014-06-13,43.42036553524786,164
