year,month,o3_mean,date_num
2014,1,32.566774632679596,1
2014,2,35.77857771792544,2
2014,3,42.35949620151924,3
2014,4,47.39597355589499,4
2014,5,47.710275142049795,5
2014,6,44.10256187329727,6
2014,7,43.967673450901124,7
2014,8,43.43195516250693,8
2014,9,38.96788325403223,9
2014,10,37.71007913238036,10
2014,11,33.23562187175264,11
2014,12,26.965955045611683,12
2015,1,29.17531382750142,13
2015,2,35.747617052476414,14
2015,3,41.04518751005921,15
2015,4,45.08341726948078,16
2015,5,46.46810953556419,17
2015,6,44.958868213402276,18
2015,7,42.77046130952325,19
2015,8,45.03003028501878,20
2015,9,42.81124146384115,21
2015,10,36.58738630621409,22
2015,11,32.742080608505105,23
2015,12,28.948242723776886,24
2016,1,32.206565842861586,25
2016,2,38.46468419520645,26
2016,3,41.629051808406544,27
2016,4,46.17247428917124,28
2016,5,46.10277375578503,29
2016,6,48.336520639030596,30
2016,7,44.29115194779835,31
2016,8,42.16233585577539,32
2016,9,40.032509790369964,33
2016,10,37.50438090486662,34
2016,11,34.66576286764599,35
2016,12,28.789506924706902,36
2017,1,32.35938831337624,37
2017,2,37.74135051300341,38
2017,3,42.225536016825636,39
2017,4,45.965165750753386,40
2017,5,46.455392734826795,41
2017,6,45.7398957730164,42
2017,7,44.944996050998185,43
2017,8,43.03993746446796,44
2017,9,42.20967164179068,45
2017,10,38.08563030502866,46
2017,11,32.374136183542575,47
2017,12,30.55169117312198,48
2018,1,31.665742505630735,49
2018,2,34.764273496370606,50
2018,3,42.6676642270886,51
2018,4,48.13687159251812,52
2018,5,48.023149077765915,53
2018,6,45.62987146680766,54
2018,7,47.13242673052761,55
2018,8,44.39520736803105,56
2018,9,37.220725142023255,57
2018,10,33.36358372695286,58
2018,11,31.64095496376537,59
2018,12,28.57618021030279,60
2019,1,31.757523095215177,61
2019,2,36.079911154984806,62
2019,3,44.22617910723686,63
2019,4,45.74100586238884,64
2019,5,43.61848208218809,65
2019,6,45.442222222221645,66
2019,7,44.270503850902344,67
2019,8,43.54635693518497,68
2019,9,42.12077646345112,69
2019,10,36.188298918385804,70
2019,11,33.67522986646855,71
2019,12,30.02341308707503,72
2020,1,31.45165765015861,73
2020,2,36.679939753364856,74
2020,3,38.11976362848824,75
2020,4,43.529902858384624,76
2020,5,43.79113251019055,77
2020,6,44.24217587954907,78
2020,7,42.96464423444854,79
2020,8,43.26948032796482,80
2020,9,38.61521772345186,81
2020,10,35.53368580527364,82
2020,11,33.66315256421926,83
2020,12,30.091378841445724,84
